Id,Service Name,Used Area,Rent Fee,Max People,Rent Type,Free Service,Extra Service Name,Extra Service Unit,Extra Service Price
SVRO-0001,Lion,39.0,150.0,2,Daily,Phone,Food,Set,25.0
SVRO-0002,Tiger,45.0,120.0,3,Hourly,Laundry,Karaoke,Hour,50.0
SVRO-0003,Jaguar,48.0,150.0,1,Daily,Steaming,Car,Day,150.0
SVRO-0004,Leopard,39.0,120.0,2,Monthly,Buffet,Massage,Hour,70.0
SVRO-0005,Panther,45.0,50.0,3,Hourly,Phone,Drink,Set,15.0
SVRO-0006,Python,48.0,150.0,1,Daily,Laundry,Food,Set,25.0
SVRO-0007,Cobra,39.0,120.0,2,Monthly,Steaming,Karaoke,Hour,50.0
SVRO-0008,Elephant,45.0,150.0,3,Yearly,Buffet,Car,Day,150.0
SVRO-0009,Tiger,48.0,120.0,1,Hourly,Phone,Massage,Hour,70.0
SVRO-0010,Jaguar,39.0,50.0,2,Daily,Laundry,Drink,Set,15.0
SVRO-0011,Leopard,45.0,150.0,3,Monthly,Steaming,Food,Set,25.0
SVRO-0012,Panther,48.0,120.0,1,Monthly,Buffet,Karaoke,Hour,50.0
SVRO-0013,Ostrich,39.0,50.0,2,Hourly,Phone,Car,Day,150.0
SVRO-0014,Horse,45.0,150.0,3,Daily,Laundry,Massage,Hour,70.0
SVRO-7777,Mantis,123.0,1200.0,2,Monthly,Laundry,N/A,N/A,0.0
